external_id,subject,strand,topic,essential_question_type,variant_type,exam_type,year_level,difficulty,marks,time_limit_seconds,answer_format,question_text,option_a,option_b,option_c,option_d,option_e,option_asset_refs_json,option_explanations_json,correct_answer,worked_solution,short_explanation,stimulus_id,stimulus_title,stimulus_type,stimulus_text,stimulus_asset_refs,question_asset_refs,solution_asset_refs,input_method,display_mode,answer_validation_json,rubric_json,skill_tags,concept_tags,tags,source_name,source_paper,source_section,source_question_number,license_notes,asset_generation_prompt,asset_alt_text,status
ts1-001,Thinking Skills,Critical Thinking,Argument Analysis,Identify conclusion,,Selective,6,2,1,60,single_choice,"Priya says: ""The Marradong fun run raised more money than any other community event in our town last year. It also brought hundreds of visitors to local shops, and the volunteers say they enjoyed organising it. The council should therefore make the fun run an annual event.""

Which one of the following best expresses the main conclusion of Priya's argument?",The fun run raised more money than any other community event in the town last year.,The council should make the fun run an annual event.,The volunteers enjoyed organising the fun run.,Community events always bring visitors to local shops.,,,"{""A"":""This is one of the reasons Priya gives, not the claim her reasons are meant to support."",""B"":""Correct: The word \""therefore\"" signals this as the main conclusion; every other statement is offered in support of it."",""C"":""This is a supporting reason, not the conclusion of the argument."",""D"":""Priya never makes this general claim; she only says this fun run brought visitors to local shops.""}",B,"The conclusion of an argument is the claim that the other statements are trying to support. Priya gives three reasons - the money raised, the visitors to shops, and the volunteers' enjoyment - and the word ""therefore"" introduces the claim they support: the council should make the fun run annual. Options A and C are reasons, and D is a general claim Priya never makes. The correct answer is therefore B.","""Therefore"" signals the conclusion: the council should make the fun run annual. The other statements are reasons or claims never made.",,,,,,,,options,standard,,,"identify-conclusion,argument-structure","community-events,persuasive-argument",inline-argument,ai-generated-pilot-20260707,,,,Original AI-generated content modelled on the style of NSW Selective practice papers; no text copied or paraphrased from any published material.,,,draft
ts1-002,Thinking Skills,Critical Thinking,Argument Analysis,Identify conclusion,,Selective,6,3,1,60,single_choice,"A local newspaper editorial states: ""Shade from street trees can lower footpath temperatures by several degrees on a hot day. Our town should therefore plant more trees along its main shopping streets. Summer heatwaves are becoming more frequent, and shoppers stay away from streets that offer no relief from the sun.""

Which one of the following best expresses the main conclusion of the editorial?",The town should plant more trees along its main shopping streets.,Shade from street trees can lower footpath temperatures by several degrees.,Summer heatwaves are becoming more frequent.,Shoppers avoid the town's main shopping streets all year round.,,,"{""A"":""Correct: This is the recommendation that all three other statements are given to support, even though it appears in the middle of the passage."",""B"":""This is a reason offered in support of planting more trees, not the conclusion."",""C"":""This is a supporting reason explaining why shade matters, not the conclusion."",""D"":""The editorial says shoppers avoid streets with no relief from the sun; it does not claim they avoid the main streets all year round.""}",A,"A conclusion does not have to come last; here it sits in the middle of the passage, marked by ""therefore"". The facts about cooler footpaths, more frequent heatwaves and shopper behaviour are all reasons for the recommendation to plant more trees. Option D twists the final sentence into a much stronger claim the editorial never makes. The correct answer is therefore A.","The recommendation to plant more trees is the conclusion, signalled by ""therefore""; the temperature, heatwave and shopper claims are reasons.",,,,,,,,options,standard,,,"identify-conclusion,argument-structure","urban-trees,environment",mid-passage-conclusion,ai-generated-pilot-20260707,,,,Original AI-generated content modelled on the style of NSW Selective practice papers; no text copied or paraphrased from any published material.,,,draft
ts1-003,Thinking Skills,Critical Thinking,Argument Analysis,Identify reason,,Selective,6,2,1,60,single_choice,"Callum says: ""The town library should stay open later on weeknights. Many parents cannot bring their children in before it closes at 5 pm because they do not finish work until 5:30 pm. Also, last month's survey showed that borrowing goes up whenever opening hours are extended.""

Which one of the following is a reason Callum gives to support his conclusion?",The town library should stay open later on weeknights.,Children prefer to read at home in the evenings.,Many parents finish work after the library has already closed.,Borrowing went down when the library extended its opening hours.,,,"{""A"":""This is Callum's conclusion - the claim his reasons support - not one of the reasons."",""B"":""Callum never says anything about children preferring to read at home."",""C"":""Correct: Callum states that many parents cannot visit before 5 pm because they finish work at 5:30 pm; this directly supports staying open later."",""D"":""This is the opposite of what Callum says: the survey showed borrowing goes up when hours are extended.""}",C,"First find the conclusion: the library should stay open later on weeknights. A reason is a statement given to support that conclusion. Callum offers two: parents finish work after closing time, and borrowing rises when hours are extended. Option A is the conclusion itself, B is never stated, and D reverses the survey result. The correct answer is therefore C.",Callum supports his conclusion with the fact that many parents finish work after the 5 pm closing time.,,,,,,,,options,standard,,,"identify-reason,argument-structure","library,community-services",premise-vs-conclusion,ai-generated-pilot-20260707,,,,Original AI-generated content modelled on the style of NSW Selective practice papers; no text copied or paraphrased from any published material.,,,draft
ts1-004,Thinking Skills,Critical Thinking,Argument Analysis,Strengthen argument,Add supporting evidence,Selective,6,2,1,60,single_choice,"Rosa says: ""Our school's new recycling bins are working. Since the bins arrived last term, there has been less rubbish lying around the playground. If we put bins on the sports oval as well, the whole school will be tidier.""

Which one of these statements, if true, most strengthens Rosa's argument?",The recycling bins are bright yellow and easy to notice.,Some students still drop rubbish near the canteen.,The school bought the bins at a discounted price.,A count by the environment club found that playground litter halved in the first month after the bins were installed.,,,"{""A"":""The colour of the bins tells us nothing about whether they have actually reduced rubbish."",""B"":""This slightly weakens the argument by suggesting the bins have not fixed the problem everywhere."",""C"":""The price of the bins is irrelevant to whether they are working."",""D"":""Correct: An actual measured count showing litter halved after the bins arrived gives strong evidence that the bins are working.""}",D,"Rosa's argument rests on the claim that the bins have reduced playground rubbish. The statement that helps most is one that adds solid evidence for that claim. A measured litter count showing rubbish halved after the bins were installed does exactly that. A and C are true-but-irrelevant details, and B points the other way. The correct answer is therefore D.",A measured litter count halving after the bins arrived directly supports Rosa's claim that the bins are working.,,,,,,,,options,standard,,,"strengthen-argument,evaluate-evidence","recycling,school-environment",supporting-evidence,ai-generated-pilot-20260707,,,,Original AI-generated content modelled on the style of NSW Selective practice papers; no text copied or paraphrased from any published material.,,,draft
ts1-005,Thinking Skills,Critical Thinking,Argument Analysis,Strengthen argument,Rule out alternative explanation,Selective,6,3,1,60,single_choice,"Dr Okafor says: ""The honeyeaters left the Marlo wetlands three weeks earlier this year than they usually do. I believe this is because the insects they feed on hatched earlier than usual.""

Which one of these statements, if true, most strengthens Dr Okafor's explanation?","This year the wetlands' water levels, temperatures and predator numbers were all the same as in previous years.",Honeyeaters feed mainly on nectar and insects.,A few honeyeaters stayed at the wetlands all year round.,Dr Okafor has visited the wetlands every spring for ten years.,,,"{""A"":""Correct: If everything else at the wetlands stayed the same, other possible causes of the early departure are ruled out, leaving the early insect hatching as the most likely explanation."",""B"":""This is background information the explanation already relies on; it does not make the insect explanation more likely than any other."",""C"":""A few birds staying behind neither supports nor challenges the explanation for why most left early."",""D"":""Long experience makes Dr Okafor a careful observer, but it does not show that the insects, rather than something else, caused the early departure.""}",A,"Dr Okafor is explaining why the birds left early: the insects hatched early. Something else, like changed water levels or more predators, could also have driven the birds away. Statement A rules those rival explanations out, which makes the insect explanation much stronger. B is mere background, C is beside the point, and D supports the observation rather than the explanation. The correct answer is therefore A.","Showing that water, temperature and predators were unchanged rules out rival causes, leaving the early insect hatching as the best explanation.",,,,,,,,options,standard,,,"strengthen-argument,causal-reasoning","bird-migration,animal-science",rule-out-alternatives,ai-generated-pilot-20260707,,,,Original AI-generated content modelled on the style of NSW Selective practice papers; no text copied or paraphrased from any published material.,,,draft
ts1-006,Thinking Skills,Critical Thinking,Argument Analysis,Strengthen argument,Confirm hidden assumption,Selective,6,3,1,60,single_choice,"Ms Ferreira argues: ""Students who use screens less in the evening fall asleep earlier and sleep more soundly. Our school should therefore ask families to switch off screens by 8 pm on school nights, because this will help students arrive at school more alert.""

Which one of these statements, if true, most strengthens Ms Ferreira's argument?",Most students enjoy using screens in the evening.,A large study has found that students who fall asleep earlier and sleep more soundly are noticeably more alert at school the next day.,Screen devices are cheaper to buy now than they were five years ago.,Some families already switch off their screens by 8 pm.,,,"{""A"":""Students enjoying screens does not connect better sleep to alertness; if anything it hints the plan may be unpopular."",""B"":""Correct: Ms Ferreira quietly assumes that better sleep leads to more alertness at school; this study confirms that missing link."",""C"":""The price of devices has nothing to do with sleep or alertness."",""D"":""A few families already doing this tells us nothing about whether the plan will make students more alert.""}",B,"Ms Ferreira's evidence is about sleep, but her conclusion is about alertness at school. Her argument silently assumes that earlier, sounder sleep actually makes students more alert the next day. Statement B confirms exactly that hidden link, so it strengthens the argument most. A, C and D do not connect sleep to alertness at all. The correct answer is therefore B.",The argument jumps from better sleep to more alertness; the study confirms that hidden link between the two.,,,,,,,,options,standard,,,"strengthen-argument,identify-assumption","screen-time,sleep-science",hidden-assumption,ai-generated-pilot-20260707,,,,Original AI-generated content modelled on the style of NSW Selective practice papers; no text copied or paraphrased from any published material.,,,draft
ts1-007,Thinking Skills,Critical Thinking,Argument Analysis,Strengthen argument,Increase reliability of source,Selective,6,4,1,60,single_choice,"Marco writes: ""A recent report found that tap water in Kurrajong Heights is just as safe to drink as bottled water. The school canteen should therefore stop selling bottled water. Some parents, however, say the report cannot be trusted.""

Which one of these statements, if true, most strengthens Marco's argument?",Bottled water costs much more than tap water.,The report was easy to find on the council's website.,The report was produced by an independent laboratory that tested the town's tap water every week for a year and has no links to any water company.,Many students say they prefer the taste of bottled water.,,,"{""A"":""Price gives a different reason to avoid bottled water, but it does not answer the parents' doubt about the safety report Marco relies on."",""B"":""Where the report was published says nothing about whether its findings can be trusted."",""C"":""Correct: An independent laboratory with no ties to any water company, testing weekly for a year, makes the report far more reliable, which directly answers the parents' objection."",""D"":""Students preferring the taste of bottled water works against Marco's proposal rather than supporting it.""}",C,"Marco's whole argument depends on the report being trustworthy, and the parents attack exactly that point. The statement that helps most is one that shows the report is reliable. C does this: the testing was thorough, long-running and carried out by an independent laboratory with no reason to favour either side. A offers a different argument rather than defending this one, B is irrelevant, and D counts against Marco. The correct answer is therefore C.","Showing the report came from a thorough, independent laboratory answers the doubt about its trustworthiness, which Marco's argument depends on.",,,,,,,,options,standard,,,"strengthen-argument,source-reliability","bottled-water,water-safety",source-credibility,ai-generated-pilot-20260707,,,,Original AI-generated content modelled on the style of NSW Selective practice papers; no text copied or paraphrased from any published material.,,,draft
ts1-008,Thinking Skills,Critical Thinking,Argument Analysis,Weaken argument,Provide counterexample,Selective,6,2,1,60,single_choice,"Glen says: ""Every stall at the Tallowbark twilight markets sells handmade goods. So whatever you buy at the markets is sure to be handmade.""

Which one of these statements, if true, most weakens Glen's argument?",Handmade goods are usually more expensive than factory-made goods.,The twilight markets are only held twice a month.,Most shoppers go to the markets especially to find handmade goods.,One stall at the markets sells factory-made phone cases alongside its handmade candles.,,,"{""A"":""The price of handmade goods has no bearing on whether everything sold at the markets is handmade."",""B"":""How often the markets are held is irrelevant to what the stalls sell."",""C"":""What shoppers are looking for does not tell us what is actually for sale."",""D"":""Correct: This is a direct counterexample - a stall can sell some handmade goods yet also sell factory-made items, so a purchase is not guaranteed to be handmade.""}",D,"Glen slides from ""every stall sells handmade goods"" to ""everything sold is handmade"". A stall that sells some handmade goods might also sell factory-made ones. Statement D describes exactly such a stall, giving a counterexample that breaks Glen's conclusion: you could buy a factory-made phone case at the markets. A, B and C are all irrelevant to what is actually sold. The correct answer is therefore D.","A stall selling factory-made phone cases is a counterexample: ""every stall sells handmade goods"" does not mean everything sold is handmade.",,,,,,,,options,standard,,,"weaken-argument,logical-scope","community-markets,everyday-commerce",counterexample,ai-generated-pilot-20260707,,,,Original AI-generated content modelled on the style of NSW Selective practice papers; no text copied or paraphrased from any published material.,,,draft
ts1-009,Thinking Skills,Critical Thinking,Argument Analysis,Weaken argument,Offer alternative explanation,Selective,6,3,1,60,single_choice,"Harriet says: ""Our class did ten minutes of stretching before this week's spelling test, and our average score was higher than last week's. The stretching must be what improved our results.""

Which one of these statements, if true, most weakens Harriet's argument?",This week's spelling list was made up of words the class had already practised earlier in the year.,Stretching also helps to prevent muscle injuries.,The class did the stretching in the hall rather than in the classroom.,Most students said they enjoyed the stretching.,,,"{""A"":""Correct: If the words were already familiar, that easily explains the higher scores without the stretching, so Harriet can no longer claim stretching \""must\"" be the cause."",""B"":""Muscle injuries have nothing to do with spelling scores."",""C"":""Where the stretching happened does not affect whether it caused the improvement."",""D"":""Enjoying the stretching neither supports nor challenges the claim that it improved the scores.""}",A,"Harriet assumes the stretching caused the better scores because it happened first. Her argument collapses if something else could explain the improvement just as well. A familiar spelling list is exactly such an alternative explanation: the class may simply have found this week's words easier. B, C and D leave her causal claim untouched. The correct answer is therefore A.","A familiar spelling list offers a rival explanation for the higher scores, so stretching need not be the cause.",,,,,,,,options,standard,,,"weaken-argument,causal-reasoning","classroom-experiment,cause-and-effect",alternative-explanation,ai-generated-pilot-20260707,,,,Original AI-generated content modelled on the style of NSW Selective practice papers; no text copied or paraphrased from any published material.,,,draft
ts1-010,Thinking Skills,Critical Thinking,Argument Analysis,Weaken argument,Undermine hidden assumption,Selective,6,4,1,60,single_choice,"Aisha says: ""The council is planting five hundred new trees along Beacon Street this winter. By next summer, Beacon Street's footpaths will be much cooler places to walk.""

Which one of these statements, if true, most weakens Aisha's argument?",Some residents asked the council for flower beds instead of trees.,The saplings being planted take at least fifteen years to grow large enough to shade a footpath.,Beacon Street is currently the hottest street in the town centre.,The council has successfully planted trees in other streets before.,,,"{""A"":""What some residents wanted instead has no effect on whether the trees will cool the street."",""B"":""Correct: Aisha assumes the new trees will provide shade within a year; if the saplings need fifteen years to cast useful shade, her conclusion about next summer fails."",""C"":""How hot the street is now explains why the trees are wanted, but it does not challenge Aisha's prediction."",""D"":""Past successful plantings, if anything, support the council's plan rather than weakening Aisha's claim.""}",B,"Aisha's conclusion is about next summer, but her evidence is only that trees are being planted this winter. She silently assumes that newly planted trees will provide cooling shade almost immediately. Statement B destroys that hidden assumption: saplings needing fifteen years to shade a footpath cannot cool the street by next summer. A and C are irrelevant, and D mildly supports the plan. The correct answer is therefore B.","Aisha assumes new trees give shade quickly; saplings needing fifteen years to shade a footpath undermine her ""by next summer"" claim.",,,,,,,,options,standard,,,"weaken-argument,identify-assumption","urban-trees,environment",hidden-assumption,ai-generated-pilot-20260707,,,,Original AI-generated content modelled on the style of NSW Selective practice papers; no text copied or paraphrased from any published material.,,,draft
