external_id,subject,strand,topic,essential_question_type,variant_type,exam_type,year_level,difficulty,marks,time_limit_seconds,answer_format,question_text,option_a,option_b,option_c,option_d,option_e,option_asset_refs_json,option_explanations_json,correct_answer,worked_solution,short_explanation,stimulus_id,stimulus_title,stimulus_type,stimulus_text,stimulus_asset_refs,question_asset_refs,solution_asset_refs,input_method,display_mode,answer_validation_json,rubric_json,skill_tags,concept_tags,tags,source_name,source_paper,source_section,source_question_number,license_notes,asset_generation_prompt,asset_alt_text,status
READ-LITERAL-COMPREHENSION-001,Reading,Prose Comprehension,Narrative & Extracts,Literal comprehension,passage,Selective,6,2,1,75,single_choice,What was unusual about the shop window on Friday?,It was empty except for one plain clock.,It had been painted blue.,It was covered with new brass clocks.,It displayed Mrs Vale's photographs.,,,"{""A"":""Correct: The passage says only one plain wooden clock remained in the window."",""B"":""It had been painted blue. is not supported by the given information."",""C"":""It was covered with new brass clocks. is not supported by the given information."",""D"":""It displayed Mrs Vale's photographs. is not supported by the given information.""}",A,The passage says only one plain wooden clock remained in the window.,The passage says only one plain wooden clock remained in the window.,stim-read-clockmaker-01,The Clockmaker's Window,passage,"Jun passed the clockmaker's shop every afternoon, but he had never seen the window empty. Usually it glittered with brass faces and tiny swinging pendulums. On Friday, only one clock remained: a plain wooden one with a stopped second hand. A note beside it read, 'Back when time is ready.' Jun smiled at the joke, then noticed the shop door was unlocked. Inside, the air smelt of dust and lemon oil. On the counter lay a parcel addressed to his neighbour, Mrs Vale, who had missed school pickup all week. Jun could have left it there. Instead, he tucked it under his arm and hurried down the lane, suddenly aware that the silent clock was not the strangest part of the afternoon.",,,,options,split_stimulus,,,"literal-comprehension,use-text-evidence","literal-comprehension,narrative-and-extracts","reading,passage,shared-stimulus",AI Generated,,,,Original generated content; review before publication,,,draft
READ-INFERENCE-002,Reading,Prose Comprehension,Narrative & Extracts,Inference,passage,Selective,6,2,1,75,single_choice,Why does Jun decide to take the parcel?,He wants to keep the clockmaker's property.,He thinks it may matter to Mrs Vale.,He dislikes the note in the window.,He is late for school pickup.,,,"{""A"":""He wants to keep the clockmaker's property. is not supported by the given information."",""B"":""Correct: Jun notices the parcel is for Mrs Vale and that she has been absent, so he acts out of concern."",""C"":""He dislikes the note in the window. is not supported by the given information."",""D"":""He is late for school pickup. is not supported by the given information.""}",B,"Jun notices the parcel is for Mrs Vale and that she has been absent, so he acts out of concern.","Jun notices the parcel is for Mrs Vale and that she has been absent, so he acts out of concern.",stim-read-clockmaker-01,,,,,,,options,split_stimulus,,,"inference,use-text-evidence","inference,narrative-and-extracts","reading,passage,shared-stimulus",AI Generated,,,,Original generated content; review before publication,,,draft
READ-MAIN-IDEA-003,Reading,Prose Comprehension,Narrative & Extracts,Main idea,passage,Selective,6,2,1,75,single_choice,What is the passage mainly about?,A shopkeeper advertising a sale.,A boy learning how to repair clocks.,A familiar place becoming mysterious and prompting Jun to act.,A neighbour refusing to collect her mail.,,,"{""A"":""A shopkeeper advertising a sale. is not supported by the given information."",""B"":""A boy learning how to repair clocks. is not supported by the given information."",""C"":""Correct: The focus is on the mysterious shop and Jun's decision, not clock repair or shopping."",""D"":""A neighbour refusing to collect her mail. is not supported by the given information.""}",C,"The focus is on the mysterious shop and Jun's decision, not clock repair or shopping.","The focus is on the mysterious shop and Jun's decision, not clock repair or shopping.",stim-read-clockmaker-01,,,,,,,options,split_stimulus,,,"main-idea,use-text-evidence","main-idea,narrative-and-extracts","reading,passage,shared-stimulus",AI Generated,,,,Original generated content; review before publication,,,draft
READ-VOCABULARY-IN-CONTEXT-004,Reading,Prose Comprehension,Narrative & Extracts,Vocabulary in context,passage,Selective,6,3,1,75,single_choice,"In the phrase 'it glittered with brass faces', what does 'faces' mean?",Photographs of customers.,Masks made of metal.,People standing in the window.,The front parts of clocks.,,,"{""A"":""Photographs of customers. is not supported by the given information."",""B"":""Masks made of metal. is not supported by the given information."",""C"":""People standing in the window. is not supported by the given information."",""D"":""Correct: Clock faces are the front displays where the numbers and hands appear.""}",D,Clock faces are the front displays where the numbers and hands appear.,Clock faces are the front displays where the numbers and hands appear.,stim-read-clockmaker-01,,,,,,,options,split_stimulus,,,"vocabulary-in-context,use-text-evidence","vocabulary-in-context,narrative-and-extracts","reading,passage,shared-stimulus",AI Generated,,,,Original generated content; review before publication,,,draft
READ-TONE-AND-ATTITUDE-005,Reading,Prose Comprehension,Narrative & Extracts,Tone and attitude,passage,Selective,6,2,1,75,single_choice,The tone near the end is best described as,cheerful and careless,curious and uneasy,angry and accusing,bored and factual,,,"{""A"":""cheerful and careless is not supported by the given information."",""B"":""Correct: The unlocked door, stopped clock and parcel create curiosity with a slight uneasiness."",""C"":""angry and accusing is not supported by the given information."",""D"":""bored and factual is not supported by the given information.""}",B,"The unlocked door, stopped clock and parcel create curiosity with a slight uneasiness.","The unlocked door, stopped clock and parcel create curiosity with a slight uneasiness.",stim-read-clockmaker-01,,,,,,,options,split_stimulus,,,"tone-and-attitude,use-text-evidence","tone-and-attitude,narrative-and-extracts","reading,passage,shared-stimulus",AI Generated,,,,Original generated content; review before publication,,,draft
READ-LANGUAGE-FEATURE-EFFECT-006,Reading,Prose Comprehension,Narrative & Extracts,Language feature effect,passage,Selective,6,3,1,75,single_choice,"What is the effect of the note, 'Back when time is ready'?",It adds mystery by making an ordinary closure note sound strange.,It explains exactly where the clockmaker has gone.,It makes Jun forget about Mrs Vale.,It proves the clock is broken beyond repair.,,,"{""A"":""Correct: The note plays on the idea of time and creates uncertainty."",""B"":""It explains exactly where the clockmaker has gone. is not supported by the given information."",""C"":""It makes Jun forget about Mrs Vale. is not supported by the given information."",""D"":""It proves the clock is broken beyond repair. is not supported by the given information.""}",A,The note plays on the idea of time and creates uncertainty.,The note plays on the idea of time and creates uncertainty.,stim-read-clockmaker-01,,,,,,,options,split_stimulus,,,"language-feature-effect,use-text-evidence","language-feature-effect,narrative-and-extracts","reading,passage,shared-stimulus",AI Generated,,,,Original generated content; review before publication,,,draft
READ-CHARACTER-MOTIVATION-007,Reading,Prose Comprehension,Narrative & Extracts,Character motivation,passage,Selective,6,2,1,75,single_choice,What most motivates Jun's final action?,A plan to sell the parcel.,Fear of being punished by the clockmaker.,A wish to own the wooden clock.,Concern that the parcel may be important.,,,"{""A"":""A plan to sell the parcel. is not supported by the given information."",""B"":""Fear of being punished by the clockmaker. is not supported by the given information."",""C"":""A wish to own the wooden clock. is not supported by the given information."",""D"":""Correct: His attention to Mrs Vale's absence and the address shows concern.""}",D,His attention to Mrs Vale's absence and the address shows concern.,His attention to Mrs Vale's absence and the address shows concern.,stim-read-clockmaker-01,,,,,,,options,split_stimulus,,,"character-motivation,use-text-evidence","character-motivation,narrative-and-extracts","reading,passage,shared-stimulus",AI Generated,,,,Original generated content; review before publication,,,draft
READ-CHARACTER-CHANGE-008,Reading,Prose Comprehension,Narrative & Extracts,Character change,passage,Selective,6,3,1,75,single_choice,How does Jun change during the extract?,He becomes less interested in the mystery.,He decides never to help neighbours.,He stops noticing details around him.,He moves from casual curiosity to purposeful action.,,,"{""A"":""He becomes less interested in the mystery. is not supported by the given information."",""B"":""He decides never to help neighbours. is not supported by the given information."",""C"":""He stops noticing details around him. is not supported by the given information."",""D"":""Correct: At first he merely notices the window; by the end he takes action.""}",D,At first he merely notices the window; by the end he takes action.,At first he merely notices the window; by the end he takes action.,stim-read-clockmaker-01,,,,,,,options,split_stimulus,,,"character-change,use-text-evidence","character-change,narrative-and-extracts","reading,passage,shared-stimulus",AI Generated,,,,Original generated content; review before publication,,,draft
READ-SETTING-AND-ATMOSPHERE-009,Reading,Prose Comprehension,Narrative & Extracts,Setting and atmosphere,passage,Selective,6,2,1,75,single_choice,Which detail most strongly creates a mysterious atmosphere?,The counter had lemon oil on it.,The shop door was unlocked and the clock had stopped.,Jun walked past the shop every afternoon.,Mrs Vale lived down the lane.,,,"{""A"":""The counter had lemon oil on it. is not supported by the given information."",""B"":""Correct: The unlocked door and stopped clock make the familiar shop feel strange."",""C"":""Jun walked past the shop every afternoon. is not supported by the given information."",""D"":""Mrs Vale lived down the lane. is not supported by the given information.""}",B,The unlocked door and stopped clock make the familiar shop feel strange.,The unlocked door and stopped clock make the familiar shop feel strange.,stim-read-clockmaker-01,,,,,,,options,split_stimulus,,,"setting-and-atmosphere,use-text-evidence","setting-and-atmosphere,narrative-and-extracts","reading,passage,shared-stimulus",AI Generated,,,,Original generated content; review before publication,,,draft
READ-EVIDENCE-MATCHING-010,Reading,Prose Comprehension,Narrative & Extracts,Evidence matching,passage,Selective,6,2,1,75,single_choice,Which detail best supports the idea that Jun is observant?,He notices both the stopped hand and the parcel's address.,He passes the shop every afternoon.,He smiles at the note.,He hurries down the lane.,,,"{""A"":""Correct: These details show Jun paying close attention to small clues."",""B"":""He passes the shop every afternoon. is not supported by the given information."",""C"":""He smiles at the note. is not supported by the given information."",""D"":""He hurries down the lane. is not supported by the given information.""}",A,These details show Jun paying close attention to small clues.,These details show Jun paying close attention to small clues.,stim-read-clockmaker-01,,,,,,,options,split_stimulus,,,"evidence-matching,use-text-evidence","evidence-matching,narrative-and-extracts","reading,passage,shared-stimulus",AI Generated,,,,Original generated content; review before publication,,,draft
