asset_ref,external_id,asset_type,asset_status,storage_path,spec_file,alt_text
asset://question-assets/generated/mr2-cube-steps.svg,mr2-015,svg,generated,/question-assets/generated/mr2-cube-steps.svg,docs/generated-question-bank/asset-specs/mr2-cube-steps.json,"A staircase-shaped solid made of identical small cubes, 4 cubes wide. It has three layers: the bottom layer is 4 cubes wide by 3 cubes deep (12 cubes), the middle layer is 4 by 2 (8 cubes) aligned with the back, and the top layer is 4 by 1 (4 cubes) at the back, forming three steps. Diagram not to scale."
asset://question-assets/generated/mr2-l-garden-perimeter.svg,mr2-013,svg,generated,/question-assets/generated/mr2-l-garden-perimeter.svg,docs/generated-question-bank/asset-specs/mr2-l-garden-perimeter.json,"An L-shaped garden: a 12 m by 9 m rectangle with its top-right corner cut away. Labelled sides: bottom 12 m, left 9 m, top 7 m, right 4 m. The two unlabelled inner-corner sides work out as 12 - 7 = 5 m (horizontal) and 9 - 4 = 5 m (vertical). Diagram not to scale."
asset://question-assets/generated/mr2-l-plywood-area.svg,mr2-011,svg,generated,/question-assets/generated/mr2-l-plywood-area.svg,docs/generated-question-bank/asset-specs/mr2-l-plywood-area.json,"An L-shaped piece of plywood: a 90 cm by 60 cm rectangle with its top-right corner cut away. Labelled sides: bottom edge 90 cm, left edge 60 cm, top edge 50 cm, right edge 35 cm. The two unlabelled cut-out sides are the inner horizontal (90 - 50 = 40 cm) and the inner vertical (60 - 35 = 25 cm). Diagram not to scale."
asset://question-assets/generated/mr3-daytemp.svg,mr3-daytemp,chart,generated,/question-assets/generated/mr3-daytemp.svg,docs/generated-question-bank/asset-specs/mr3-daytemp.json,"Line graph of temperature during one day, read every two hours: 6 am 11°C, 8 am 13°C, 10 am 18°C, 12 noon 22°C, 2 pm 24°C, 4 pm 20°C, 6 pm 16°C. The vertical axis shows temperature from 0 to 30 degrees Celsius with gridlines every 5."
asset://question-assets/generated/mr3-rainfall.svg,mr3-rainfall,chart,generated,/question-assets/generated/mr3-rainfall.svg,docs/generated-question-bank/asset-specs/mr3-rainfall.json,"Column graph of monthly rainfall at Warrigal Creek Public School in millimetres: January 90, February 70, March 110, April 40, May 60, June 30. The vertical axis shows rainfall in mm from 0 to 120 with gridlines every 20."
asset://question-assets/generated/mr4-arrow-reflect.svg,mr4-002,svg,generated,/question-assets/generated/mr4-arrow-reflect.svg,docs/generated-question-bank/asset-specs/mr4-arrow-reflect.json,"A coordinate grid numbered 0 to 10 on both axes. A small arrow shape sits on the left, with its pointed tip marked at the point (3, 2). A bold dashed vertical line runs up the grid at x = 5, labelled as the mirror line. The shape is to be reflected across this line."
asset://question-assets/generated/mr4-pie-sport.svg,mr4-003,chart,generated,/question-assets/generated/mr4-pie-sport.svg,docs/generated-question-bank/asset-specs/mr4-pie-sport.json,"A pie chart titled 'Favourite Sport' divided into four sectors. Soccer fills one half (1/2) of the circle, Basketball fills one quarter (1/4), Netball fills one eighth (1/8) and Cricket fills one eighth (1/8). The four fractions add to one whole."
asset://question-assets/generated/mr4-pie-transport.svg,mr4-004,chart,generated,/question-assets/generated/mr4-pie-transport.svg,docs/generated-question-bank/asset-specs/mr4-pie-transport.json,"A pie chart titled 'How We Travel to School (120 students)' divided into four sectors. Bus is one third (1/3), Walk is one quarter (1/4), Bike is one quarter (1/4) and Car is one sixth (1/6). These four fractions add to one whole. The chart total is 120 students."
asset://question-assets/generated/mr4-triangle-translate.svg,mr4-001,svg,generated,/question-assets/generated/mr4-triangle-translate.svg,docs/generated-question-bank/asset-specs/mr4-triangle-translate.json,"A coordinate grid numbered 0 to 8 on both axes. A right-angled triangle has corners labelled P at (1, 1), Q at (1, 4) and R at (3, 1). The right angle is at P. A dashed arrow points up and to the right, indicating the triangle will be slid 4 units right and 2 units up."
asset://question-assets/generated/ts-abstract-spatial-1-001-a.svg,ts-abstract-spatial-1-001-a,svg,generated,/question-assets/generated/ts-abstract-spatial-1-001-a.svg,docs/generated-question-bank/asset-specs/ts-abstract-spatial-1-001-a.json,A circle.
