external_id,subject,strand,topic,essential_question_type,variant_type,exam_type,year_level,difficulty,marks,time_limit_seconds,answer_format,question_text,option_a,option_b,option_c,option_d,option_e,option_asset_refs_json,option_explanations_json,correct_answer,worked_solution,short_explanation,stimulus_id,stimulus_title,stimulus_type,stimulus_text,stimulus_asset_refs,question_asset_refs,solution_asset_refs,input_method,display_mode,answer_validation_json,rubric_json,skill_tags,concept_tags,tags,source_name,source_paper,source_section,source_question_number,license_notes,asset_generation_prompt,asset_alt_text,asset_spec_json,asset_status,status,domain_code,subtopic_code,skill_code,pattern_key,question_family,stimulus_format,stimulus_genre,asset_render_method,writing_form,writing_purpose,writing_prompt_stimulus,asset_type,asset_required
TS-COV-AE-001-Q01,Thinking Skills,Arguments and Evidence,Identifying conclusions and claims,Locate the main conclusion,,Selective,6,1,1,60,single_choice,Which sentence best expresses the main conclusion of the argument in the box?,Many members play sport on Friday afternoons.,The chess club should hold its meetings on Wednesday.,The library is the only free room the club can use.,Hardly anyone comes to the chess club on Fridays.,,,"{""A"": ""A reason given to explain why Friday is unsuitable — support, not the point being argued for."", ""B"": ""Correct: the recommendation the whole passage is built to justify."", ""C"": ""Background about the room — a supporting detail, not the conclusion."", ""D"": ""The problem that motivates the argument — a premise, not the conclusion.""}",B,"The conclusion is the point the author wants you to accept; every other sentence is a reason for it. Sentences about sport, the booked library and low attendance all explain why Friday is a poor choice — they are support. The sentence that the argument is trying to establish is the recommendation to move to Wednesday, so B is the conclusion. A, C and D are the reasons that lead up to it.",The recommendation to move to Wednesday is the point; the rest are reasons for it.,stim-ts-ae-q01,The chess club's meeting day,argument,"The chess club meets on Fridays, but hardly anyone comes. Many members play sport on Friday afternoons, and the library — the only free room — is usually booked on Fridays. Wednesday afternoons are much quieter, and the library is almost always free then. The club should move its meetings to Wednesday.",,,,,,,,identify-conclusion,conclusion-vs-premise,"arguments, conclusion",,,,,Original item; not derived from any source paper.,,,,,draft,arguments_evidence,identifying_conclusions_and_claims,,locate-conclusion-recommendation-vs-reasons,standard_multiple_choice,passage,,rich_text,,,,,FALSE
TS-COV-AE-001-Q02,Thinking Skills,Arguments and Evidence,Cause and effect,Predict the effect from a stated cause,,Selective,6,1,1,60,single_choice,"Based only on this information, what must have happened this morning?",The pool had been overfilling because the siren sounded.,The sensor will now need to be replaced.,The safety siren sounded.,The siren also sounds whenever the pool water is too cold.,,,"{""A"": ""Reverses cause and effect: the overfilling triggered the siren, not the other way around."", ""B"": ""Nothing suggests the sensor is faulty — it worked, so this is unsupported."", ""C"": ""Correct: the cause (overfilling detected) is present, so its stated effect (siren) follows."", ""D"": ""Invents a new rule; the passage only links overfilling to the siren.""}",C,"The stated cause is 'sensor detects overfilling' and its effect is 'the siren sounds automatically'. This morning the cause happened, so the effect must have followed: the siren sounded (C). A swaps cause and effect — the siren did not make the pool overfill. B assumes a fault that nothing supports. D adds a rule about cold water that was never stated.","The stated cause occurred, so its stated effect — the siren sounding — must have followed.",stim-ts-ae-q02,The pool safety siren,scenario,"At the Riverside pool, a safety siren sounds automatically whenever a sensor detects that the pool is overfilling. This morning, the sensor detected that the pool was overfilling.",,,,,,,,predict-effect,cause-then-effect,"cause and effect, reasoning",,,,,Original item; not derived from any source paper.,,,,,draft,arguments_evidence,cause_and_effect,,single-causal-rule-forward-prediction,standard_multiple_choice,passage,,rich_text,,,,,FALSE
TS-COV-AE-001-Q03,Thinking Skills,Arguments and Evidence,Identifying assumptions,Identify a required assumption,,Selective,6,2,1,75,single_choice,The argument depends on which of these assumptions being true?,The new system helps students finish their homework more quickly.,Teachers would rather mark homework online than on paper.,Last term the school printed more worksheets than in any earlier term.,The worksheets posted online will not simply be printed on the school's own printers instead.,,,"{""A"": ""Speed of homework is irrelevant to paper spending; negating it leaves the argument standing."", ""B"": ""A preference, not something the argument needs; negating it does not break the reasoning."", ""C"": ""A detail about size; the paper-saving still holds even if last term was not a record."", ""D"": ""Correct: if the online worksheets are printed at school anyway, no paper is saved and the argument collapses.""}",D,"The conclusion is that the school will spend less on paper; the support is that printed worksheets will now be posted online. Use the negation test. Negate D — the online worksheets are simply printed on the school's printers instead — and the paper is not saved, so the argument fails. That makes D a required assumption. Negating A, B or C leaves the argument intact, so none of them is needed.","Only D is required: if the online sheets are printed at school anyway, no paper is saved.",stim-ts-ae-q03,The online homework plan,argument,"Our school's new online homework system will cut the amount of paper we use. Last term, teachers handed out about 500 printed worksheets a week. With the new system, those worksheets will be posted online instead. So the school will spend less on paper this year.",,,,,,,,"required-assumption, negation-test",unstated-premise,"arguments, assumptions",,,,,Original item; not derived from any source paper.,,,,,draft,arguments_evidence,identifying_assumptions,,gap-assumption-posting-online-replaces-printing,standard_multiple_choice,passage,,rich_text,,,,,FALSE
TS-COV-AE-001-Q04,Thinking Skills,Arguments and Evidence,Strengthening arguments,Which statement most strengthens the argument,,Selective,6,2,1,75,single_choice,"Which of the following, if true, would most strengthen the café owner's argument?","On the few days the sound system broke and no music played, customers left sooner and bought fewer desserts.","Around the same time as the music started, the café also lowered its dessert prices.",Soft background music is popular in many other cafés in the same suburb.,Customers who order desserts often say they enjoy the café's friendly atmosphere.,,,"{""A"": ""Correct: removing the music removes the effect, which supports the claim that the music is the cause."", ""B"": ""Offers a rival cause (cheaper desserts), which weakens rather than strengthens the music claim."", ""C"": ""Music being popular elsewhere says nothing about whether it caused this café's dessert sales."", ""D"": ""'Atmosphere' is vague and does not link the music specifically to more dessert orders.""}",A,"The conclusion is that the music is causing longer stays and extra dessert sales. To strengthen a causal claim, show that removing the cause removes the effect. A does exactly this: on days without music, stays and dessert sales dropped, which points to the music as the cause. B supplies a rival cause (a price cut), so it weakens the claim. C is about other cafés, not this one. D is too vague to tie the music to desserts. Only A closes the gap between the evidence and the conclusion.","A shows the effect disappears when the music does, supporting the music as the cause.",stim-ts-ae-q04,Background music at the café,argument,"A café owner argues: 'Ever since we began playing soft background music, customers have stayed longer and ordered more desserts. The music relaxes people and makes them linger, so we should keep playing it to lift dessert sales.'",,,,,,,,strengthen-argument,"support-causal-claim, remove-the-cause","arguments, strengthen",,,,,Original item; not derived from any source paper.,,,,,draft,arguments_evidence,strengthening_arguments,,strengthen-causal-by-cause-removal,standard_multiple_choice,passage,,rich_text,,,,,FALSE
TS-COV-AE-001-Q05,Thinking Skills,Arguments and Evidence,Weakening arguments,Which statement most weakens the argument,,Selective,6,2,1,75,single_choice,"Which of the following, if true, would most weaken the council's argument?",Residents of Maple Road say they now feel safer walking home at night.,The brighter lighting uses more electricity than the lighting it replaced.,"Halfway through last year, a bicycle-theft gang that operated on Maple Road was caught and jailed.","Since the new lighting went in, even more people now park their bicycles on Maple Road.",,,"{""A"": ""How safe people feel is not evidence about why thefts fell, so it does not weaken the claim."", ""B"": ""Electricity cost is irrelevant to whether the lighting reduced thefts."", ""C"": ""Correct: it supplies a rival cause for the drop, so the lighting need not be what reduced thefts."", ""D"": ""More bikes yet fewer thefts would, if anything, support the deterrent claim, not weaken it.""}",C,"The conclusion is that the brighter lighting caused the fall in thefts. To weaken it, offer a believable rival cause for the fall. C does this: if a theft gang was jailed midway through the year, the drop could be explained by the arrests rather than the lighting. A and B are off-topic (feelings and electricity cost). D points the other way — more bikes but fewer thefts would tend to support deterrence. Only C breaks the link between the lighting and the result.",C gives a rival cause — the gang's arrest — for the fall in thefts.,stim-ts-ae-q05,Street lighting on Maple Road,argument,"A town council claims: 'After we put brighter lighting on Maple Road last year, reported bicycle thefts there fell by half. Brighter lighting clearly scares off thieves, so we should install it on every street.'",,,,,,,,weaken-argument,"rival-cause, alternative-explanation","arguments, weaken",,,,,Original item; not derived from any source paper.,,,,,draft,arguments_evidence,weakening_arguments,,weaken-causal-by-rival-cause,standard_multiple_choice,passage,,rich_text,,,,,FALSE
TS-COV-AE-001-Q06,Thinking Skills,Arguments and Evidence,Correlation and causation,Two-speaker: whose reasoning is correct,,Selective,6,2,1,75,single_choice,"If the information in the box is true, whose reasoning is correct?",Priya only,Nina only,Both Priya and Nina,Neither Priya nor Nina,,,"{""A"": ""Priya treats an association as a cause, which the survey does not support."", ""B"": ""Correct: Nina points to age as a factor that could cause both, which is sound."", ""C"": ""Cannot be right because Priya's leap from association to cause is not justified."", ""D"": ""Cannot be right because Nina's cautious point about a shared cause is valid.""}",B,"The box reports only an association between backpack weight and scores. Priya jumps straight to 'heavier backpacks help scores' — that is reading a correlation as a cause, which the evidence does not justify. Nina notes that age could raise both book load and scores at once, a genuine third factor that would produce the pattern without backpacks causing anything; her reasoning is sound and suitably cautious ('could'). So Nina is right and Priya is wrong: the answer is B.",Priya mistakes correlation for cause; Nina correctly raises age as a shared cause.,stim-ts-ae-q06,Backpacks and test scores,dialogue,"A survey of primary schools found that, on average, schools where students carry heavier backpacks have higher test scores than schools where students carry lighter backpacks.

Priya: So carrying a heavier backpack must help students score better on tests.
Nina: Not necessarily — older students tend to carry more books and also tend to score higher, so age could explain both.",,,,,,,,"correlation-not-causation, confounder",third-factor,"correlation, causation, two-speaker",,,,,Original item; not derived from any source paper.,,,,,draft,arguments_evidence,correlation_and_causation,,confounder-age-explains-association,standard_multiple_choice,passage,,rich_text,,,,,FALSE
TS-COV-AE-001-Q07,Thinking Skills,Arguments and Evidence,Identifying flaws,Identify the mistake in a speaker's reasoning,,Selective,6,3,1,90,single_choice,Which statement best identifies the mistake in Jordan's reasoning?,Jordan should have asked a teacher to help search for the bottle.,Jordan cannot be sure the bottle was ever brought to school at all.,Water bottles that are found are usually placed in the lost-property box.,Not finding the bottle in one place does not show it is missing from every place.,,,"{""A"": ""Reasonable advice, but it does not name the error in Jordan's argument."", ""B"": ""Raises a different doubt (whether it was brought in) rather than the leap Jordan actually makes."", ""C"": ""A true general fact that does not explain why Jordan's conclusion fails."", ""D"": ""Correct: Jordan jumps from 'not in one box' to 'not in the whole school', which does not follow.""}",D,"Jordan's reasoning is: 'not found in the lost-property box' therefore 'not anywhere in the school'. The flaw is that failing to find something in one place does not prove it is absent everywhere — the bottle could be in a classroom, a bag or a corridor. D names exactly this error. A only gives advice; B questions a different premise instead of the faulty step; C is a true fact that does not identify why the conclusion fails. Only D pinpoints Jordan's actual mistake.",Not finding it in one box does not prove it is nowhere in the school — that is Jordan's error.,stim-ts-ae-q07,The missing water bottle,argument,Jordan says: 'I've checked the school's lost-property box every Monday for a month and never found my missing water bottle in it. So my water bottle is definitely not anywhere in the school.',,,,,,,,"identify-flaw, absence-of-evidence",one-place-not-everywhere,"flaws, reasoning-error",,,,,Original item; not derived from any source paper.,,,,,draft,arguments_evidence,identifying_flaws,,absence-in-one-location-read-as-absence-everywhere,standard_multiple_choice,passage,,rich_text,,,,,FALSE
TS-COV-AE-001-Q08,Thinking Skills,Arguments and Evidence,Experiments and fair testing,Choose the single test that distinguishes two cases,,Selective,6,3,1,90,single_choice,Offering which single food would tell Sam which species the vole is?,Clover,Barley,Acorns,Reeds,,,"{""A"": ""Correct: only a Marsh vole eats clover, so eating it means Marsh and refusing it means Dune."", ""B"": ""Both species eat barley, so the vole's choice reveals nothing."", ""C"": ""Both species eat acorns, so this cannot tell them apart."", ""D"": ""Both species eat reeds, so this cannot tell them apart.""}",A,"A useful test is one food that only one species eats. Compare the diets: barley, acorns and reeds appear in both lists, so offering any of them tells Sam nothing — either vole would eat it. Clover appears only in the Marsh vole's diet. So if the vole eats clover it must be a Marsh vole, and if it refuses it must be a Dune vole. Only clover (A) separates the two species.","Only clover is in one diet, so only clover can tell the two voles apart.",stim-ts-ae-q08,Which vole is it?,scenario,"A keeper named Sam has a young vole that is either a Marsh vole or a Dune vole. Sam's guidebook lists what each species will eat:
• A Marsh vole eats barley, acorns, reeds and clover.
• A Dune vole eats barley, acorns and reeds.
Sam will offer one type of food. If the vole eats it, that food is part of its diet; if it refuses, that food is not part of its diet.",,,,,,,,"discriminating-test, fair-test",unique-distinguishing-feature,"experiments, fair-testing",,,,,Original item; not derived from any source paper.,,,,,draft,arguments_evidence,experiments_and_fair_testing,,single-food-unique-to-one-diet-discriminates,standard_multiple_choice,passage,,rich_text,,,,,FALSE
TS-COV-AE-001-Q09,Thinking Skills,Arguments and Evidence,Evaluating evidence,Which records must be checked to test a claim,,Selective,6,3,1,90,single_choice,Checking the missing records of which two seedlings would properly test the claim?,Seedlings 1 and 3,Seedlings 2 and 4,Seedlings 1 and 4,Seedlings 3 and 4,,,"{""A"": ""Seedling 1 is needed, but seedling 3 already flowered and cannot break the claim whether treated or not."", ""B"": ""Seedling 2 was not treated, so the claim says nothing about it; only seedling 4 is relevant here."", ""C"": ""Correct: a treated seedling that did not flower, or a non-flowerer that was treated, would each disprove the claim."", ""D"": ""Seedling 4 is needed, but seedling 3 (already flowered) cannot test the claim.""}",C,"The claim is 'treated → flowers within three weeks'. It can only be broken by a seedling that was treated but did NOT flower. Seedling 1 was treated, so checking whether it flowered could break the claim. Seedling 4 did not flower, so checking whether it was treated could break the claim (a treated non-flowerer). Seedling 2 was untreated — the claim says nothing about untreated plants. Seedling 3 already flowered — it fits the claim whether treated or not. So the two worth checking are seedlings 1 and 4 (C).","Only a treated-and-not-flowered case breaks the claim, so check seedling 1 and seedling 4.",stim-ts-ae-q09,Testing the GloRoot claim,data_table,"A garden centre claims: 'Any seedling we treat with GloRoot powder flowers within three weeks.' A gardener has partial records for four seedlings:

Seedling 1 — Treated with GloRoot: Yes | Flowered within 3 weeks: unknown
Seedling 2 — Treated with GloRoot: No | Flowered within 3 weeks: unknown
Seedling 3 — Treated with GloRoot: unknown | Flowered within 3 weeks: Yes
Seedling 4 — Treated with GloRoot: unknown | Flowered within 3 weeks: No

The gardener can fill in the missing record for only two seedlings.",,,,,,,,"test-the-claim, evaluate-evidence","conditional-test, falsifying-case","evidence, testing-a-claim",,,,,Original item; not derived from any source paper.,,,,,draft,arguments_evidence,evaluating_evidence,,wason-style-select-cases-to-falsify-conditional,standard_multiple_choice,passage,,rich_text,,,,,FALSE
TS-COV-AE-001-Q10,Thinking Skills,Arguments and Evidence,Sampling and bias,Identify why a sample-based conclusion is unreliable,,Selective,6,4,1,120,single_choice,Which statement best explains why the ranger's conclusion may be unreliable?,She should have recorded the size of each beetle as well as the number.,"Counting only at noon would miss most night-active Moon beetles, so her counts need not reflect the true numbers.",One month may be too short a time to study the beetles properly.,Walking the same path each day means she may have counted the same beetles again and again.,,,"{""A"": ""Beetle size is irrelevant to whether the counts reflect true numbers."", ""B"": ""Correct: a noon-only survey systematically under-counts night-active beetles, so the 3:1 ratio reflects the timing, not true abundance."", ""C"": ""A month of daily counts is not obviously too short, and a longer noon-only survey would repeat the same bias."", ""D"": ""Repeated sightings would affect both species alike and would not create the day-versus-night skew.""}",B,"The ranger only counts at noon, when day-active Sun beetles are out and night-active Moon beetles are hidden. So her sample systematically under-detects Moon beetles: the 3:1 ratio measures what is visible at noon, not how common each beetle really is. B identifies this timing bias. A (size) is irrelevant. C is a generic 'too short' worry — but even a longer noon-only survey would carry the same bias, so duration is not the real problem. D describes repeated counting, which would inflate both species roughly equally and cannot explain a day-versus-night skew. Only B names the bias that actually produces the misleading result.","Counting only at noon hides night-active Moon beetles, so the ratio reflects timing, not true numbers.",stim-ts-ae-q10,Counting beetles in Bell Forest,argument,"A ranger wants to know whether the day-active Sun beetle or the night-active Moon beetle is more common in Bell Forest. She walks the same path at noon every day for a month and records every beetle she sees. She counts three times as many Sun beetles as Moon beetles, and concludes that Sun beetles are three times as common in the forest as Moon beetles.",,,,,,,,"sampling-bias, detectability-bias","unrepresentative-sample, observation-timing","sampling, bias",,,,,Original item; not derived from any source paper.,,,,,draft,arguments_evidence,sampling_and_bias,,detectability-bias-daytime-only-survey,standard_multiple_choice,passage,,rich_text,,,,,FALSE
