external_id,subject,strand,topic,essential_question_type,variant_type,exam_type,year_level,difficulty,marks,time_limit_seconds,answer_format,question_text,option_a,option_b,option_c,option_d,option_e,option_asset_refs_json,option_explanations_json,correct_answer,worked_solution,short_explanation,stimulus_id,stimulus_title,stimulus_type,stimulus_text,stimulus_asset_refs,question_asset_refs,solution_asset_refs,input_method,display_mode,answer_validation_json,rubric_json,skill_tags,concept_tags,tags,source_name,source_paper,source_section,source_question_number,license_notes,asset_generation_prompt,asset_alt_text,status
mr1-001,Mathematical Reasoning,Number,Arithmetic,Arithmetic operations,,Selective,6,2,1,70,single_choice,Ben receives $8 pocket money every week. He saves all of it for 7 weeks. He then spends $19 on a packet of collector cards. How much money does Ben have left?,$29,$37,$47,$56,$75,,"{""A"":""Uses only 6 weeks of saving: 8 x 6 = 48 and 48 - 19 = 29, but Ben saved for 7 weeks."",""B"":""Correct: Ben saves 8 x 7 = $56, then 56 - 19 = $37 is left."",""C"":""Subtracts only the 9 of the $19: 56 - 9 = 47. The whole $19 must be subtracted."",""D"":""Stops after finding the total saved (8 x 7 = 56) and forgets the $19 spent on cards."",""E"":""Adds the $19 instead of subtracting it: 56 + 19 = 75.""}",B,"Ben saves 8 × 7 = $56 over the seven weeks. He then spends $19 on the cards, so 56 − 19 = $37 is left. So the correct answer is B $37.","Ben saves 8 × 7 = $56, then spends $19: 56 − 19 = $37.",,,,,,,,options,standard,,,"multi-step-arithmetic,money-problems","multiplication,subtraction","money,no-calculator",ai-generated-pilot-20260707,,,,Original AI-generated content modelled on the style of NSW Selective practice papers; no text copied or paraphrased from any published material.,,,draft
mr1-002,Mathematical Reasoning,Number,Arithmetic,Arithmetic operations,,Selective,6,3,1,70,single_choice,Chi bakes 3 trays of biscuits with 16 biscuits on each tray. She gives 2 dozen biscuits to her neighbour Mrs Patel. She then packs all the remaining biscuits into bags with 4 biscuits in each bag. How many bags does Chi fill?,6,9,12,24,36,,"{""A"":""Correct: 3 x 16 = 48 biscuits, minus 2 dozen (24) leaves 24, and 24 / 4 = 6 bags."",""B"":""Treats 2 dozen as only 12 biscuits: (48 - 12) / 4 = 9. Two dozen is 24 biscuits."",""C"":""Forgets the biscuits given away: 48 / 4 = 12."",""D"":""This is the number of biscuits left after the gift (24), not the number of bags."",""E"":""48 - 12 = 36 counts leftover biscuits (with the wrong value for 2 dozen) rather than bags.""}",A,"Chi bakes 3 × 16 = 48 biscuits. Two dozen is 2 × 12 = 24 biscuits, so after the gift she has 48 − 24 = 24 biscuits left. Packing them in fours gives 24 ÷ 4 = 6 bags. So the correct answer is A 6.",48 biscuits − 24 given away = 24; 24 ÷ 4 = 6 bags.,,,,,,,,options,standard,,,"multi-step-arithmetic,equal-grouping","multiplication,division,subtraction","multi-step,cooking",ai-generated-pilot-20260707,,,,Original AI-generated content modelled on the style of NSW Selective practice papers; no text copied or paraphrased from any published material.,,,draft
mr1-003,Mathematical Reasoning,Number,Arithmetic,Place value,,Selective,6,2,1,70,single_choice,A sticker company prints a batch of 47 386 stickers. What is the value of the digit 7 in the number 47 386?,7,70,700,7 000,70 000,,"{""A"":""This is the face value of the digit, not its place value in the number."",""B"":""70 would be the value if the 7 were in the tens place; the tens digit is 8."",""C"":""700 would be the value if the 7 were in the hundreds place; the hundreds digit is 3."",""D"":""Correct: in 47 386 the 7 sits in the thousands place, so it stands for 7 000."",""E"":""70 000 confuses the 7 with the ten-thousands place, which holds the 4.""}",D,"In 47 386 the places are: 4 ten-thousands, 7 thousands, 3 hundreds, 8 tens and 6 ones. The digit 7 is in the thousands place, so it stands for 7 × 1000 = 7 000. So the correct answer is D 7 000.","The 7 in 47 386 is in the thousands place, so it stands for 7 000.",,,,,,,,options,standard,,,"place-value-identification,number-sense","place-value,base-ten","stickers,no-calculator",ai-generated-pilot-20260707,,,,Original AI-generated content modelled on the style of NSW Selective practice papers; no text copied or paraphrased from any published material.,,,draft
mr1-004,Mathematical Reasoning,Number,Arithmetic,Place value,,Selective,6,3,1,70,single_choice,"Hamish owns a two-digit number of footy cards. When he wrote the number in his collection log, he accidentally swapped the two digits, and the number he wrote was 27 more than his real number of cards. The digits of the real number add to 11. How many cards does Hamish really own?",29,38,47,56,74,,"{""A"":""The digits of 29 add to 11, but swapping gives 92, which is 63 more, not 27."",""B"":""The digits of 38 add to 11, but swapping gives 83, which is 45 more, not 27."",""C"":""Correct: 47 has digit sum 11, and swapping gives 74, which is exactly 74 - 47 = 27 more."",""D"":""The digits of 56 add to 11, but swapping gives 65, which is only 9 more."",""E"":""74 is the number Hamish wrote by mistake, not his real number of cards.""}",C,"Swapping the digits of a two-digit number changes it by 9 times the difference between the digits. The written number was 27 more, so the digits differ by 27 ÷ 9 = 3. The digits also add to 11, so they are 7 and 4, and the real (smaller) number is 47. Check: Hamish wrote 74, and 74 − 47 = 27. So the correct answer is C 47. Alternatively, test each option: 47 → 74 is the only swap that increases the number by exactly 27.",Swapping digits changes a number by 9 × the digit difference: 27 ÷ 9 = 3; digits 7 and 4 give 47.,,,,,,,,options,standard,,,"digit-reversal-reasoning,working-backwards","place-value,two-digit-numbers","puzzle,multi-step",ai-generated-pilot-20260707,,,,Original AI-generated content modelled on the style of NSW Selective practice papers; no text copied or paraphrased from any published material.,,,draft
mr1-005,Mathematical Reasoning,Number,Arithmetic,Factors and multiples,,Selective,6,3,1,70,single_choice,Mr Novak has 84 oranges at his fruit shop. He wants to pack all of them into bags so that every bag holds the same number of oranges and no oranges are left over. Which of the following could NOT be the number of oranges in each bag?,6,7,12,14,16,,"{""A"":""84 / 6 = 14 exactly, so bags of 6 work with none left over."",""B"":""84 / 7 = 12 exactly, so bags of 7 work with none left over."",""C"":""84 / 12 = 7 exactly, so bags of 12 work with none left over."",""D"":""84 / 14 = 6 exactly, so bags of 14 work with none left over."",""E"":""Correct: 84 / 16 = 5 remainder 4, so 16 is not a factor of 84 and 4 oranges would be left over.""}",E,"A bag size only works if it is a factor of 84. Since 84 = 6 × 14 = 7 × 12, the numbers 6, 7, 12 and 14 all divide 84 exactly. But 84 ÷ 16 = 5 remainder 4, so bags of 16 would leave 4 oranges over. So the correct answer is E 16.","6, 7, 12 and 14 all divide 84 exactly; 84 ÷ 16 = 5 r 4, so 16 does not.",,,,,,,,options,standard,,,"factor-identification,divisibility-testing","factors,division-with-remainder","fruit-shop,no-calculator",ai-generated-pilot-20260707,,,,Original AI-generated content modelled on the style of NSW Selective practice papers; no text copied or paraphrased from any published material.,,,draft
mr1-006,Mathematical Reasoning,Number,Arithmetic,Factors and multiples,,Selective,6,4,1,70,single_choice,"Chi is baking for the school fete. She sets one kitchen timer to beep every 6 minutes and another timer to beep every 10 minutes. Both timers beep together at exactly 3:00 pm. How many times between 3:00 pm and 5:00 pm do the two timers beep at the same moment? (Do not count the beep at 3:00 pm, but count a beep at 5:00 pm if there is one.)",2,4,5,6,8,,"{""A"":""Assumes the timers only meet every 6 x 10 = 60 minutes, but the lowest common multiple of 6 and 10 is 30, not 60."",""B"":""Correct: the timers beep together every 30 minutes (the LCM of 6 and 10), at 3:30, 4:00, 4:30 and 5:00 pm - four times."",""C"":""Counts the 3:00 pm beep as well, which the question says to leave out."",""D"":""Uses 20 minutes as the meeting gap (120 / 20 = 6), but 20 is not a multiple of 6."",""E"":""Assumes the timers meet every 15 minutes (120 / 15 = 8), but 15 is not a multiple of 6 or of 10.""}",B,"The timers beep together every LCM(6, 10) = 30 minutes. Starting after 3:00 pm they coincide at 3:30, 4:00, 4:30 and 5:00 pm. That is 120 ÷ 30 = 4 times in the two hours, not counting the 3:00 pm beep itself. So the correct answer is B 4.","LCM(6, 10) = 30 min: together at 3:30, 4:00, 4:30 and 5:00 — 4 times.",,,,,,,,options,standard,,,"lcm-application,systematic-counting","lowest-common-multiple,multiples","time,multi-step",ai-generated-pilot-20260707,,,,Original AI-generated content modelled on the style of NSW Selective practice papers; no text copied or paraphrased from any published material.,,,draft
mr1-007,Mathematical Reasoning,Number,Arithmetic,Remainders,,Selective,6,3,1,70,single_choice,Mrs Patel has 130 plums at her fruit shop. She packs them into punnets holding 8 plums each and sells only full punnets. She takes any leftover plums home for her family. How many plums does Mrs Patel take home?,0,2,6,10,16,,"{""A"":""130 is not a multiple of 8, so there must be some plums left over."",""B"":""Correct: 8 x 16 = 128, so 16 full punnets are packed and 130 - 128 = 2 plums go home."",""C"":""6 is how many MORE plums would be needed to fill another punnet (8 - 2), not the leftover."",""D"":""Stops at 8 x 15 = 120 and takes 130 - 120 = 10, but another full punnet of 8 can still be packed from those 10."",""E"":""16 is the number of full punnets, not the number of leftover plums.""}",B,"Divide 130 by 8: since 8 × 16 = 128, Mrs Patel fills 16 punnets and 130 − 128 = 2 plums are left over. She takes those 2 plums home. So the correct answer is B 2.","130 = 16 × 8 + 2, so 2 plums are left over.",,,,,,,,options,standard,,,"division-with-remainder,interpreting-remainders","remainders,division","fruit-shop,no-calculator",ai-generated-pilot-20260707,,,,Original AI-generated content modelled on the style of NSW Selective practice papers; no text copied or paraphrased from any published material.,,,draft
mr1-008,Mathematical Reasoning,Number,Arithmetic,Remainders,,Selective,6,4,1,70,single_choice,"Five friends sit in a circle. Jun-ho hands out prize stickers one at a time, always in the same order: Alira first, then Ben, then Chi, then Danika, then Emre, and then back to Alira, and so on. Who receives the 120th sticker?",Alira,Ben,Chi,Danika,Emre,,"{""A"":""Alira receives sticker 121, the first of the next round. A remainder of 0 points to the LAST person in the cycle, not the first."",""B"":""Ben receives the sticker numbers that are 2 more than a multiple of 5 (2nd, 7th, 12th, ...), but 120 is an exact multiple of 5."",""C"":""Chi receives the sticker numbers that are 3 more than a multiple of 5 (3rd, 8th, 13th, ...), but 120 is an exact multiple of 5."",""D"":""An off-by-one slip: Danika receives the 119th sticker, one before the 120th."",""E"":""Correct: 120 / 5 = 24 exactly, and every multiple of 5 lands on the fifth person in the circle, Emre.""}",E,"The stickers repeat in a cycle of 5, so sticker numbers 5, 10, 15, … always go to the fifth person, Emre. Since 120 ÷ 5 = 24 with no remainder, the 120th sticker is the last one of the 24th full round, so it goes to Emre. So the correct answer is E Emre.","120 ÷ 5 = 24 exactly, so the 120th sticker goes to the fifth person, Emre.",,,,,,,,options,standard,,,"cyclic-patterns,interpreting-remainders","remainders,multiples","pattern,stickers",ai-generated-pilot-20260707,,,,Original AI-generated content modelled on the style of NSW Selective practice papers; no text copied or paraphrased from any published material.,,,draft
mr1-009,Mathematical Reasoning,Number,Fractions & Decimals,Fractions,Fraction of a quantity,Selective,6,2,1,70,single_choice,Alira picks 24 strawberries at the fruit shop. She uses 3/8 of them to decorate a cake. How many strawberries does Alira use?,3,6,8,9,15,,"{""A"":""24 / 8 = 3 finds only one eighth - the answer stops one step early."",""B"":""6 is one quarter of 24, not three eighths."",""C"":""8 is one third of 24 - a misreading of 3/8 as 1/3."",""D"":""Correct: one eighth of 24 is 3, so three eighths is 3 x 3 = 9."",""E"":""15 is the 5/8 of the strawberries that are left over, not the number used.""}",D,"One eighth of 24 is 24 ÷ 8 = 3, so three eighths is 3 × 3 = 9 strawberries. So the correct answer is D 9. Alternatively, 3/8 × 24 = 72 ÷ 8 = 9.","1/8 of 24 is 3, so 3/8 is 3 × 3 = 9 strawberries.",,,,,,,,options,standard,,,"fraction-of-quantity,unit-fraction-reasoning","fractions,multiplication",cooking,ai-generated-pilot-20260707,,,,Original AI-generated content modelled on the style of NSW Selective practice papers; no text copied or paraphrased from any published material.,,,draft
mr1-010,Mathematical Reasoning,Number,Fractions & Decimals,Fractions,Compare fractions,Selective,6,3,1,70,single_choice,"Five children each ordered the same sized pizza at the school fete. Ben ate 2/3 of his pizza, Chi ate 3/5, Danika ate 5/8, Emre ate 1/2 and Fletcher ate 7/10. Who ate the most pizza?",Ben,Chi,Danika,Emre,Fletcher,,"{""A"":""Ben's 2/3 = 80/120 looks large, but it is only the second biggest share."",""B"":""Chi's 3/5 = 72/120 is smaller than Ben's, Danika's and Fletcher's shares."",""C"":""Danika's 5/8 = 75/120 is smaller than Ben's 80/120 and Fletcher's 84/120."",""D"":""Emre's 1/2 = 60/120 is the smallest share of all."",""E"":""Correct: Fletcher's 7/10 = 84/120 is greater than Ben's 2/3 = 80/120 and every other share.""}",E,"Write every fraction with denominator 120: Ben 2/3 = 80/120, Chi 3/5 = 72/120, Danika 5/8 = 75/120, Emre 1/2 = 60/120 and Fletcher 7/10 = 84/120. The largest is 84/120, which is Fletcher's 7/10. So the correct answer is E Fletcher. Alternatively, compare as decimals: 0.7 beats 0.667, 0.625, 0.6 and 0.5.","7/10 = 84/120 beats 2/3 = 80/120 and the rest, so Fletcher ate the most.",,,,,,,,options,standard,,,"comparing-fractions,common-denominators","fractions,equivalence","benchmark-fractions,no-calculator",ai-generated-pilot-20260707,,,,Original AI-generated content modelled on the style of NSW Selective practice papers; no text copied or paraphrased from any published material.,,,draft
