subject,strand,topic,essential_question_type,description,common_trap,difficulty_min,difficulty_max,recommended_answer_format,assets_commonly_needed
Reading,Prose Comprehension,Narrative & Extracts,Literal comprehension,Tests retrieval of facts and details stated explicitly in the passage.,Students pick an option that sounds plausible instead of checking the exact wording of the text.,1,3,single_choice,false
Reading,Prose Comprehension,Narrative & Extracts,Inference,Tests drawing a conclusion from clues that are implied but never directly stated.,Students choose an answer that is true in general but not actually supported by the passage.,2,5,single_choice,false
Reading,Prose Comprehension,Narrative & Extracts,Main idea,Tests identifying the central point of a passage or paragraph rather than its details.,Students select a frequently mentioned detail instead of the idea that covers the whole text.,2,4,single_choice,false
Reading,Prose Comprehension,Narrative & Extracts,Theme,Tests recognising the underlying message or lesson the writer conveys through the story.,Students restate the plot instead of the broader idea the events illustrate.,3,5,single_choice,false
Reading,Prose Comprehension,Narrative & Extracts,Vocabulary in context,Tests working out the meaning of a word or phrase as it is used in the passage.,Students choose the most common dictionary meaning instead of the meaning that fits the context.,2,4,single_choice,false
Reading,Prose Comprehension,Narrative & Extracts,Tone and attitude,Tests identifying the narrator's or writer's tone and attitude towards the subject.,Students confuse a character's emotion with the tone of the narration itself.,2,5,single_choice,false
Reading,Prose Comprehension,Narrative & Extracts,Language feature effect,Tests explaining why the writer used a technique such as simile or repetition and what effect it creates.,Students name the device correctly but choose a vague generic effect that does not fit this passage.,3,5,single_choice,false
Reading,Prose Comprehension,Narrative & Extracts,Text structure,Tests recognising how the passage is organised such as by contrast or by cause and effect.,Students describe what the text says rather than how it is arranged.,2,4,single_choice,false
Reading,Prose Comprehension,Narrative & Extracts,Author purpose,Tests identifying why the author wrote the text such as to persuade or to entertain.,Students confuse the topic of the text with the author's reason for writing it.,2,4,single_choice,false
Reading,Prose Comprehension,Narrative & Extracts,Character motivation,Tests working out why a character acts or speaks the way they do.,Students choose what the character did rather than the reason behind the action.,2,4,single_choice,false
Reading,Prose Comprehension,Narrative & Extracts,Character change,Tests tracking how a character's feelings or views shift across the passage.,Students describe only the character's final state and miss the shift from the beginning.,2,5,single_choice,false
Reading,Prose Comprehension,Narrative & Extracts,Setting and atmosphere,Tests identifying the mood created by the description of a place or time.,Students choose a literal detail about the location instead of the feeling it creates.,2,4,single_choice,false
Reading,Prose Comprehension,Narrative & Extracts,Narrative perspective,Tests recognising who is telling the story and how that shapes what the reader knows.,Students confuse a first-person narrator with the author of the text.,2,4,single_choice,false
Reading,Prose Comprehension,Narrative & Extracts,Sequencing,Tests placing events from the passage in the order they actually happened.,Students use the order events are mentioned even when the text includes a flashback.,1,3,single_choice,false
