subject,essential_question_type,variant_type,description
Thinking Skills,Strengthen argument,Add supporting evidence,A new fact or finding directly backs up the argument's main claim.
Thinking Skills,Strengthen argument,Rule out alternative explanation,The option eliminates a rival explanation so the argument's cause is more likely.
Thinking Skills,Strengthen argument,Confirm hidden assumption,The option states that an idea the argument quietly relies on is actually true.
Thinking Skills,Strengthen argument,Provide representative example,A typical case shows the claim holds beyond the single instance given.
Thinking Skills,Strengthen argument,Increase reliability of source,The option shows the person or study behind the evidence is trustworthy or expert.
Thinking Skills,Strengthen argument,Show cause precedes effect,The option confirms the claimed cause happened before the effect appeared.
Thinking Skills,Weaken argument,Provide counterexample,A specific case where the claim fails casts doubt on the conclusion.
Thinking Skills,Weaken argument,Offer alternative explanation,The option gives a different cause that explains the same evidence.
Thinking Skills,Weaken argument,Undermine hidden assumption,The option shows an idea the argument depends on is false or doubtful.
Thinking Skills,Weaken argument,Question sample representativeness,The option shows the evidence comes from an unusual or too-small group.
Thinking Skills,Weaken argument,Discredit source reliability,The option shows the evidence comes from a biased or unqualified source.
Thinking Skills,Weaken argument,Show effect occurs without cause,The option shows the outcome happens even when the claimed cause is absent.
Thinking Skills,Identify assumption,Missing link assumption,The unstated idea that connects the given reason to the conclusion.
Thinking Skills,Identify assumption,No alternative assumption,The argument assumes no other cause or option could explain the situation.
Thinking Skills,Identify assumption,Feasibility assumption,The argument assumes its proposed plan or action can actually be carried out.
Thinking Skills,Identify assumption,Representativeness assumption,The argument assumes the example or sample used is typical of the whole group.
Thinking Skills,Identify assumption,Continuity assumption,The argument assumes present conditions will stay the same in the future.
Thinking Skills,Identify assumption,Causal assumption,The argument assumes one thing causes another rather than merely accompanying it.
Thinking Skills,Conditional logic,Apply rule forward,Given the condition holds the student deduces the stated consequence.
Thinking Skills,Conditional logic,Contrapositive reasoning,Given the consequence fails the student deduces the condition must fail too.
Thinking Skills,Conditional logic,Converse trap,Distractors assume the rule works in reverse when it does not.
Thinking Skills,Conditional logic,Chain of conditionals,Two or more if-then rules must be linked to reach the conclusion.
Thinking Skills,Conditional logic,Only-if condition,The rule states a necessary condition and students must not treat it as sufficient.
Thinking Skills,Conditional logic,Unless statement,The rule is phrased with unless and must be translated into if-then form.
Thinking Skills,Ordering,Linear order from clues,Positional clues fix a complete left-to-right or first-to-last order.
Thinking Skills,Ordering,Relative position deduction,Only some relative positions are given and one relationship must be deduced.
Thinking Skills,Ordering,Missing position inference,Students identify which position or person cannot be determined from the clues.
Thinking Skills,Ordering,Contradiction elimination,Students test each option against the clues and eliminate the impossible orders.
Thinking Skills,Ordering,Circular arrangement,People or objects are seated around a circle so left and right depend on facing.
Thinking Skills,Ordering,Order after a change,An established order is altered by a swap or move and the new order is required.
Thinking Skills,Abstract sequences,Complete the sequence,Students choose the figure that continues the pattern in the series.
Thinking Skills,Abstract sequences,Find the odd one out,Students identify the figure that breaks the rule shared by the others.
Thinking Skills,Abstract sequences,Matrix pattern,Students find the missing cell in a grid where rules run across rows and columns.
Thinking Skills,Abstract sequences,Rotation rule,Each step turns the figure by a fixed amount and students must predict the next turn.
Thinking Skills,Abstract sequences,Shading rule,Fill or shading changes in a repeating cycle across the sequence.
